1, 0.42, 13.19, 81.19, 438
2, 0.51, 6.32, 63.27, 498
3, 0.43, 3.98, 41.37, 501
4, 0.31, 2.78, 33.18, 497
6, 0.2, 1.77, 19.99, 495
8, 0.2, 1.3, 18.26, 499
12, 3.12, 0.81, 11.94, 500
16, 0.17, 0.6, 7.63, 501
24, 0.15, 0.37, 5.57, 501
32, 0.14, 0.26, 4.7, 501
